category,subcategory,question,option1,option2,option3,option4,correct_option,difficulty,tags,image_url,explanation,status,last_used_at,video_ids
Science,Physics,What is the SI unit of force?,Newton,Joule,Pascal,Watt,1,easy,physics|units,,The Newton (N) is the SI unit of force named after Isaac Newton.,unused,,
Science,Physics,What type of wave is sound?,Longitudinal,Transverse,Electromagnetic,Surface,1,medium,physics|waves,,Sound is a longitudinal wave where particles oscillate parallel to the wave direction.,unused,,
Science,Physics,What is absolute zero in Celsius?,-273.15 C,-100 C,-200 C,0 C,1,hard,physics|temperature,,Absolute zero (0 Kelvin) equals -273.15 degrees Celsius the lowest theoretical temperature.,unused,,
Science,Physics,What is the unit of electrical resistance?,Ohm,Volt,Ampere,Watt,1,easy,physics|electricity,,Resistance is measured in Ohms named after Georg Simon Ohm.,unused,,
Science,Physics,"Which law states that force equals mass times acceleration?",Newton's Second Law,Newton's First Law,Boyle's Law,Ohm's Law,1,easy,physics|laws,,F=ma is Newton's Second Law of Motion relating force mass and acceleration.,unused,,
Science,Chemistry,What is the chemical symbol for sodium?,Na,So,Sd,N,1,medium,chemistry|elements,,Na comes from the Latin word Natrium meaning sodium.,unused,,
Science,Chemistry,What is the most abundant gas in Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Argon,1,medium,chemistry|atmosphere,,Approximately 78% of Earth's atmosphere is nitrogen (N2).,unused,,
Science,Chemistry,What is the pH of pure water at 25 degrees Celsius?,7,6,8,14,1,easy,chemistry|pH,,Pure water is neutral with a pH of exactly 7 at 25 degrees Celsius.,unused,,
Science,Chemistry,Which element has atomic number 1?,Hydrogen,Helium,Lithium,Carbon,1,easy,chemistry|elements,,Hydrogen (H) is element number 1 with one proton and one electron.,unused,,
Science,Chemistry,What is the most abundant element in the universe?,Hydrogen,Oxygen,Carbon,Helium,1,medium,chemistry|cosmology,,About 75% of the visible universe by mass is hydrogen formed in the Big Bang.,unused,,
Science,Biology,What is known as the powerhouse of the cell?,Mitochondria,Nucleus,Ribosome,Golgi Body,1,easy,biology|cells,,Mitochondria produce ATP the cell's primary energy currency through cellular respiration.,unused,,
Science,Biology,How many chambers does a human heart have?,Four,Two,Three,Six,1,easy,biology|anatomy,,The human heart has 4 chambers - two atria (upper) and two ventricles (lower).,unused,,
Science,Biology,What process allows plants to make food using sunlight?,Photosynthesis,Respiration,Digestion,Transpiration,1,easy,biology|plants,,Photosynthesis converts sunlight CO2 and water into glucose and oxygen in plant cells.,unused,,
Science,Biology,What is the largest organ in the human body?,Skin,Liver,Lungs,Intestine,1,medium,biology|anatomy,,The skin is the largest organ covering approximately 1.7 to 2.0 square metres in adults.,unused,,
Science,Biology,How many chromosomes does a normal human cell have?,46,23,48,44,1,easy,biology|genetics,,Humans have 46 chromosomes arranged in 23 pairs in most somatic (body) cells.,unused,,
Science,Astronomy,What is the closest star to Earth besides the Sun?,Proxima Centauri,Sirius,Betelgeuse,Vega,1,medium,astronomy|stars,,Proxima Centauri is approximately 4.24 light-years from Earth the closest known star.,unused,,
Science,Astronomy,How long does light from the Sun take to reach Earth?,About 8 minutes,About 1 minute,About 1 hour,About 1 day,1,medium,astronomy|solar system,,Sunlight takes approximately 8 minutes and 20 seconds to travel from the Sun to Earth.,unused,,
Science,Astronomy,What is the largest planet in our solar system?,Jupiter,Saturn,Uranus,Neptune,1,easy,astronomy|planets,,Jupiter has a radius of about 71000 km which is over 11 times the radius of Earth.,unused,,
Science,Astronomy,What type of galaxy is the Milky Way?,Spiral,Elliptical,Irregular,Lenticular,1,medium,astronomy|galaxies,,The Milky Way is a barred spiral galaxy estimated to contain 100 to 400 billion stars.,unused,,
Science,Astronomy,What is a light-year a measure of?,Distance,Time,Speed,Brightness,1,medium,astronomy|measurement,,A light-year is the distance light travels in one year approximately 9.46 trillion kilometres.,unused,,
